_id,name,compensation,employer,address,link
35189787,Старший инженер по внедрению ECM-решений,"{'min': None, 'max': None, 'val': None}",АйДжиЭс,Москва,/vakansii/starshij-inzhener-po-vnedreniyu-ecm-reshenij-35189787.html
35169692,Ведущий инженер технического надзора,"{'max': 125000, 'val': 'руб', 'min': None}",ANCOR,Москва,/vakansii/veduschij-inzhener-tehnicheskogo-nadzora-35169692.html
33648129,Инженер электросвязи на оборудование радиосети,"{'max': 60000, 'val': 'руб', 'min': None}",МГТС,Москва,/vakansii/inzhener-elektrosvyazi-na-oborudovanie-radioseti-33648129.html
34643930,Инженер ПТО,"{'min': None, 'max': None, 'val': None}",ГТСтелеком,Москва,/vakansii/inzhener-pto-34643930.html
35126522,Инженер-проектировщик баз данных PostgreSQL,"{'min': 160000, 'val': 'руб', 'max': None}",Президент Сервис Консалт,Москва,/vakansii/inzhener-proektirovschik-baz-dannyh-postgresql-35126522.html
35171220,Ведущий инженер-сметчик ОВиК,"{'min': 70000, 'val': 'руб', 'max': None}",Staffmax,Москва,/vakansii/veduschij-inzhener-smetchik-ovik-35171220.html
35275200,Инженер технического надзора,"{'min': None, 'max': None, 'val': None}",Почта России,Москва,/vakansii/inzhener-tehnicheskogo-nadzora-35275200.html
34171418,Инженер-конструктор (ГАЗОДИНАМИКА),"{'min': None, 'max': None, 'val': None}",ГКНПЦ имени М. В. Хруничева,Москва,/vakansii/inzhener-konstruktor-34171418.html
34639698,Инженер (механические испытания конструктивно-подобных образцов),"{'min': 80000, 'val': 'руб', 'max': None}",Всероссийский научно-исследовательский институт авиационных материалов,Москва,/vakansii/inzhener-34639698.html
32098344,Ведущий инженер-лаборант,"{'min': 81000, 'val': 'руб', 'max': None}",АВТОБАН,Москва,/vakansii/veduschij-inzhener-laborant-32098344.html
33425088,Инженер-конструктор РЭА,"{'min': None, 'max': None, 'val': None}","""Концерн ""Калашников""",Москва,/vakansii/inzhener-konstruktor-rea-33425088.html
35348867,Инженер технической поддержки/мониторинга,"{'min': None, 'max': None, 'val': None}",Банк ВТБ,Москва,/vakansii/inzhener-tehnicheskoj-podderzhki-35348867.html
35273649,Инженер слаботочных систем,"{'min': 60000, 'val': 'руб', 'max': None}",JOBCART.RU,Москва,/vakansii/inzhener-slabotochnyh-sistem-35273649.html
25564912,Инженер по комплектации оборудования,"{'min': 70000, 'val': 'руб', 'max': None}",ГКБ №15 имени О. М. Филатова,Москва,/vakansii/inzhener-po-komplektacii-oborudovaniya-25564912.html
33988498,Инженер по эксплуатации базовых станций сотовой связи,"{'min': None, 'max': None, 'val': None}",МГТС,Москва,/vakansii/inzhener-po-ekspluatacii-bazovyh-stancij-sotovoj-svyazi-33988498.html
35387219,Инженер-технолог (технолог),"{'min': None, 'max': None, 'val': None}",Саста,Москва,/vakansii/inzhener-tehnolog-35387219.html
35283307,Инженер-механик по эксплуатации оборудования,"{'min': 70000, 'val': 'руб', 'max': None}",Милти,Москва,/vakansii/inzhener-mehanik-po-ekspluatacii-oborudovaniya-35283307.html
35378847,Инженер по охране труда и пожарной безопасности,"{'min': 75000, 'val': 'руб', 'max': None}",Правительство Москвы,Москва,/vakansii/inzhener-po-ohrane-truda-i-pozharnoj-bezopasnosti-35378847.html
35268596,Инженер технической поддержки (установщик дополнительного оборудования),"{'min': 80000, 'val': 'руб', 'max': None}",Лаборатория защиты,Москва,/vakansii/inzhener-tehnicheskoj-podderzhki-35268596.html
35225771,Инженер-проектировщик ОВиК ВК,"{'min': None, 'max': None, 'val': None}",Айибов Вадим Валентинович,Москва,/vakansii/inzhener-proektirovschik-ovik-vk-35225771.html
34914640,"Инженер-физик (г. Билибино, ЧАО)","{'max': 700, 'val': 'руб', 'min': None}",АНО Агентство по развитию человеческого капитала на Дальнем Востоке и в Арктике,Балашиха,/vakansii/inzhener-fizik-34914640.html
33508674,Сантехник / Сервисный инженер,"{'min': None, 'max': None, 'val': None}",,Москва,/vakansii/santehnik-33508674.html
34763013,Сервисный инженер по промышленному оборудованию,"{'min': 95000, 'val': 'руб', 'max': None}",СОЛАН-Д,Москва,/vakansii/servisnyj-inzhener-po-promyshlennomu-oborudovaniyu-34763013.html
35236150,Сервис-инженер по сварочному оборудованию,"{'min': None, 'max': None, 'val': None}",Вебер Комеханикс,Москва,/vakansii/servis-inzhener-po-svarochnomu-oborudovaniyu-35236150.html
34317181,Ведущий инженер-проектировщик,"{'min': None, 'max': None, 'val': None}",Группа Индустриальных Технологий,Москва,/vakansii/veduschij-inzhener-proektirovschik-34317181.html
35170432,Ведущий инженер-энергетик,"{'min': 300, 'val': 'руб', 'max': None}",Почта России,Москва,/vakansii/veduschij-inzhener-energetik-35170432.html
35387350,Инженер-технолог,"{'min': None, 'max': None, 'val': None}",Государственный космический научно-производственный центр им. М. В. Хруничева,Москва,/vakansii/inzhener-tehnolog-35387350.html
35225850,Инженер-конструктор / Проектировщик,"{'min': None, 'max': None, 'val': None}",Айибов Вадим Валентинович,Москва,/vakansii/inzhener-konstruktor-35225850.html
35386909,Сервисный инженер / Наладчик станков и манипуляторов с программным управлением,"{'max': 70000, 'val': 'руб', 'min': None}",Саста,Москва,/vakansii/servisnyj-inzhener-35386909.html
35298930,Инженер-сметчик,"{'min': 80000, 'val': 'руб', 'max': None}",Правительство Москвы,Москва,/vakansii/inzhener-smetchik-35298930.html
34777785,Ведущий инженер по управлению блоком (Чукотский автономный округ),"{'max': 200, 'val': 'руб', 'min': None}",АНО Агентство по развитию человеческого капитала на Дальнем Востоке и в Арктике,Москва,/vakansii/veduschij-inzhener-po-upravleniyu-blokom-34777785.html
35025035,Инженер-электрик,"{'min': 50000, 'val': 'руб', 'max': None}",Becar Asset Management Group,Москва,/vakansii/inzhener-elektrik-35025035.html
35268486,Сервисный инженер (промышленные роботы),"{'min': None, 'max': None, 'val': None}",Форминг,Москва,/vakansii/servisnyj-inzhener-35268486.html
35156775,Инженер 2 категории,"{'min': 50000, 'val': 'руб', 'max': None}",Ростелеком,Москва,/vakansii/inzhener-2-kategorii-35156775.html
35291853,Разработчик электронных устройств / Инженер-электронщик,"{'min': None, 'max': None, 'val': None}",Технопарк «Сколково»,Москва,/vakansii/razrabotchik-elektronnyh-ustrojstv-35291853.html
35291847,Ведущий инженер (г. Химки),"{'min': 100000, 'val': 'руб', 'max': None}",Медицина,Москва,/vakansii/veduschij-inzhener-35291847.html
35079264,Инженер,"{'min': None, 'max': None, 'val': None}",Группа Индустриальных Технологий,Москва,/vakansii/inzhener-35079264.html
26904282,Инженер-технолог,"{'min': None, 'max': None, 'val': None}",Строительная компания,Москва,/vakansii/inzhener-tehnolog-26904282.html
35211472,Инженер ПТО (ЦКАД),"{'min': 80000, 'val': 'руб', 'max': None}",Твой Дом,Подольск,/vakansii/inzhener-pto-35211472.html
35281298,Ведущий инженер,"{'min': None, 'max': None, 'val': None}",Аплеона ХСГ,Москва,/vakansii/veduschij-inzhener-35281298.html
34545889,Ведущий инженер-программист,"{'min': None, 'max': None, 'val': None}",Комус,Москва,/vakansii/veduschij-inzhener-programmist-34545889.html
35223506,Сервисный инженер / Специалист по ремонту оборудования (Юг Москвы и МО),"{'min': None, 'max': None, 'val': None}",Линде Материал Хэндлинг Рус (Linde MH),Москва,/vakansii/servisnyj-inzhener-35223506.html
35190111,Инженер-разработчик Big Data,"{'min': 250000, 'val': 'руб', 'max': None}",Кадровое агентство IT and Digital,Москва,/vakansii/inzhener-razrabotchik-big-data-35190111.html
